Console Address,OS,HW Type
DLPPSE1001-bmc.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1000-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1001-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1002-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1003-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1004-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1005-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1006-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1007-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1008-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1009-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1010-bmc.1dc.com,CentOS 6 X86_64,RELION 2800 TO BE FILLED BY O.E.M.
l1ppap1011-bmc.1dc.com,CentOS 6 X86_64,S210-X12RS TO BE FILLED BY O.E.M.
l1ppap1012-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1013-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1014-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1015-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1016-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1017-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1018-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R720
